"","Variable","All","IDH_WT","IDH_Mut","IDH_WT_GBM","IDH_WT_nonGBM"
"1","os.time","18.6 (8.9–32.8); range 0.2–305.2","15.5 (7.4–25.6); range 0.2–277.1","34.4 (18.3–119.0); range 0.7–305.2","13.7 (5.5–23.4); range 0.2–76.0","21.3 (12.5–42.2); range 0.7–277.1"
"2","Age",">40: 127 (63.8%); <40: 72 (36.2%)",">40: 108 (73%); <40: 40 (27%)",">40: 19 (37.3%); <40: 32 (62.7%)",">40: 95 (90.5%); <40: 10 (9.5%)",">40: 13 (30.2%); <40: 30 (69.8%)"
"3","Sex","Male: 119 (59.8%); Female: 80 (40.2%)","Male: 89 (60.1%); Female: 59 (39.9%)","Male: 30 (58.8%); Female: 21 (41.2%)","Male: 65 (61.9%); Female: 40 (38.1%)","Male: 24 (55.8%); Female: 19 (44.2%)"
"4","Grade","I: 25 (12.6%); II: 21 (10.6%); III: 21 (10.6%); IV: 132 (66.3%)","I: 25 (16.9%); II: 6 (4.1%); III: 6 (4.1%); IV: 111 (75%)","I: 0 (0%); II: 15 (29.4%); III: 15 (29.4%); IV: 21 (41.2%)","I: 1 (1%); II: 1 (1%); III: 0 (0%); IV: 103 (98.1%)","I: 24 (55.8%); II: 5 (11.6%); III: 6 (14%); IV: 8 (18.6%)"
"5","Histo","Glioblastoma: 105 (52.8%); Astrocytoma: 38 (19.1%); Circumscribed glioma: 15 (7.5%); Glioneuronal tumor: 14 (7%); Oligodendroglioma: 13 (6.5%); Pediatric-type HGG: 9 (4.5%); Pediatric-type LGG: 3 (1.5%); Ependymoma: 2 (1%)","Glioblastoma: 105 (70.9%); Astrocytoma: 0 (0%); Circumscribed glioma: 15 (10.1%); Glioneuronal tumor: 14 (9.5%); Oligodendroglioma: 0 (0%); Pediatric-type HGG: 9 (6.1%); Pediatric-type LGG: 3 (2%); Ependymoma: 2 (1.4%)","Glioblastoma: 0 (0%); Astrocytoma: 38 (74.5%); Circumscribed glioma: 0 (0%); Glioneuronal tumor: 0 (0%); Oligodendroglioma: 13 (25.5%); Pediatric-type HGG: 0 (0%); Pediatric-type LGG: 0 (0%); Ependymoma: 0 (0%)","Glioblastoma: 105 (100%); Astrocytoma: 0 (0%); Circumscribed glioma: 0 (0%); Glioneuronal tumor: 0 (0%); Oligodendroglioma: 0 (0%); Pediatric-type HGG: 0 (0%); Pediatric-type LGG: 0 (0%); Ependymoma: 0 (0%)","Glioblastoma: 0 (0%); Astrocytoma: 0 (0%); Circumscribed glioma: 15 (34.9%); Glioneuronal tumor: 14 (32.6%); Oligodendroglioma: 0 (0%); Pediatric-type HGG: 9 (20.9%); Pediatric-type LGG: 3 (7%); Ependymoma: 2 (4.7%)"
"6","Location","Lobar: 171 (85.9%); Cerebellum: 12 (6%); Thalamic: 8 (4%); Other: 8 (4%)","Lobar: 121 (81.8%); Cerebellum: 11 (7.4%); Thalamic: 8 (5.4%); Other: 8 (5.4%)","Lobar: 50 (98%); Cerebellum: 1 (2%); Thalamic: 0 (0%); Other: 0 (0%)","Lobar: 97 (92.4%); Cerebellum: 1 (1%); Thalamic: 5 (4.8%); Other: 2 (1.9%)","Lobar: 24 (55.8%); Cerebellum: 10 (23.3%); Thalamic: 3 (7%); Other: 6 (14%)"
"7","ECOG","0: 48 (24.1%); 1: 127 (63.8%); 2: 13 (6.5%); 3: 11 (5.5%)","0: 27 (18.2%); 1: 97 (65.5%); 2: 13 (8.8%); 3: 11 (7.4%)","0: 21 (41.2%); 1: 30 (58.8%)","0: 13 (12.4%); 1: 72 (68.6%); 2: 9 (8.6%); 3: 11 (10.5%)","0: 14 (32.6%); 1: 25 (58.1%); 2: 4 (9.3%)"
"8","MGMT","M: 78 (39.2%); U: 66 (33.2%); Unknown: 55 (27.6%)","M: 44 (29.7%); U: 58 (39.2%); Unknown: 46 (31.1%)","M: 34 (66.7%); U: 8 (15.7%); Unknown: 9 (17.6%)","M: 41 (39%); U: 48 (45.7%); Unknown: 16 (15.2%)","M: 3 (7%); U: 10 (23.3%); Unknown: 30 (69.8%)"
"9","Resection","Biopsy: 44 (22.1%); Subtotal: 115 (57.8%); Total: 40 (20.1%)","Biopsy: 40 (27%); Subtotal: 78 (52.7%); Total: 30 (20.3%)","Biopsy: 4 (7.8%); Subtotal: 37 (72.5%); Total: 10 (19.6%)","Biopsy: 32 (30.5%); Subtotal: 56 (53.3%); Total: 17 (16.2%)","Biopsy: 8 (18.6%); Subtotal: 22 (51.2%); Total: 13 (30.2%)"
"10","os.event","0: 116 (58.3%); 1: 83 (41.7%)","0: 82 (55.4%); 1: 66 (44.6%)","0: 34 (66.7%); 1: 17 (33.3%)","0: 44 (41.9%); 1: 61 (58.1%)","0: 38 (88.4%); 1: 5 (11.6%)"
