"variable","level","logHR","HR","se","n","low","up","pval","study"
"Age","variable<40",-1.73449315939349,0.176489629732165,0.371115942591841,199,0.0796183508234009,0.343602218688415,1.1793007570482e-08,"All"
"Sex","variableMale",-0.016266053117461,0.98386552474108,0.247765771319809,199,0.610899935333587,1.60974633102473,0.94730260129525,"All"
"Grade","variableLow",-2.97894018541663,0.0508466933864714,0.833118710402387,199,0.00576677233263693,0.186048003977895,9.12373621098084e-10,"All"
"Histo","variableNon-GBM",-2.07572817471611,0.125465033756594,0.341293905593898,199,0.0610340713616832,0.233470095042509,1.65756297576536e-13,"All"
"IDH_status","variableMut",-1.78092839901582,0.168481656432851,0.44961153178843,199,0.0620418178000956,0.369079190506018,3.91260521315218e-07,"All"
"MGMT","variableU",0.882181627158419,2.4161651322025,0.287173830706443,199,1.39941937653948,4.29278486881659,0.00144808940968832,"All"
"MGMT","variableUnknown",0.0685100269804881,1.07091136290449,0.34427024650158,199,0.541346809069457,2.08254485351618,0.840773400447454,"All"
"ECOG","variableECOG 2–3",1.3278327387048,3.77285775198904,0.321415255296054,199,1.93258672728043,6.82028766693435,0.000281976949400686,"All"
"Resection","variableBiopsy",0.916341475630219,2.50012686260887,0.258686549665697,199,1.49661966753895,4.10226265492851,0.000627071856314609,"All"
"Resection","variableTotal",-1.32683542175344,0.265315545996814,0.5647121960931,199,0.0723644895468254,0.691275639395498,0.00430956872469879,"All"
