"gene","hr","se","n","low","up","pval","fdr"
"ATRX",-0.409680361489535,1.01415051162284,140,0.090956051545455,4.84534338144261,0.686239145655509,0.930654347804994
"TERTp",0.679890441483545,0.328039722545356,140,1.03763532649857,3.75405460235201,0.038210852009277,0.343897668083493
"PIK3CA",-0.393592242022361,0.528347326969879,140,0.239516259708713,1.9001816562724,0.456302060463219,0.848938742525264
"FGFR1",-18.1502698295953,4684.35220481066,140,0,Inf,0.996908476732225,0.996908476732225
"EGFR",0.458745048011667,0.330768488594367,140,0.82733194757735,3.02538807610951,0.165470200704323,0.744615903169455
"PTEN",0.0744926207578258,0.380671916553821,140,0.510885070203738,2.27185315691156,0.844855005098529,0.996908476732225
"BRAF",-18.2249066552211,3894.83590703592,140,0,Inf,0.996266513166474,0.996908476732225
"CDK4",0.364905183774499,0.420102217682129,140,0.632243905597238,3.28146641508663,0.385060227078367,0.848938742525264
"MDM4",0.380014552119305,0.601780700151419,140,0.449574388651293,4.75636181304438,0.527724467754838,0.863549129053372
"PDGFRA",0.426603005410518,0.447537846586288,140,0.637274330738737,3.68312312097402,0.340477506596634,0.848938742525264
"CDKN2A",0.897012465957278,0.374338203271116,140,1.17741701578581,5.10745819373327,0.0165632396451895,0.298138313613411
"TP53",0.405275025583653,0.334652844317776,140,0.778308349969187,2.88978627981993,0.225883458848935,0.813180451856165
"FGFR3-TACC3",-0.729622799645559,1.01361109914383,140,0.0661213196183938,3.51492591774009,0.471632634736258,0.848938742525264
"KIAA1549-BRAF",-17.0808114863412,3825.22423000576,140,0,Inf,0.99643721004004,0.996908476732225
"NF1",-0.250742741674667,0.480109381419616,140,0.303692428559861,1.99422270835397,0.601488132088208,0.902232198132312
"CDKN2B",0.188011840246168,0.532116439129273,140,0.425318399170983,3.42445007411757,0.723842270514995,0.930654347804994
"MDM2",0.453688080142526,0.605618762484528,140,0.480319926918441,5.15867128266307,0.453777962571833,0.848938742525264
"PTPN11",1.22819589014422,0.743909411263013,140,0.794660925835274,14.676264720548,0.098738176302975,0.59242905781785
