"gene","hr","se","n","low","up","pval","fdr"
"ATRX",-1.36753121976265,0.590910088236463,191,0.0800027947288751,0.81109610607077,0.0206523847638436,0.090870492960912
"TERTp",1.01668210338993,0.248927136218297,191,1.69688443038731,4.50221872448416,4.42182971766032e-05,0.000972802537885271
"PIK3CA",0.359412504408643,0.330037079223368,191,0.750175361512784,2.73538800744163,0.276151046178936,0.405021534395773
"FGFR1",-1.25044019976014,1.00797063010095,191,0.0397149998675461,2.06503243376188,0.214771213083222,0.337497620559349
"EGFR",0.865498608315746,0.257923194696947,191,1.43329850648094,3.93936199777562,0.000791802144309934,0.00580654905827285
"PTEN",0.61629531357421,0.287430672305667,191,1.05436801319126,3.25323237612126,0.0320206364670703,0.11191553281031
"BRAF",-1.70957487344969,1.00760013287332,191,0.0251113625335252,1.30380263405872,0.0897571983851069,0.197465836447235
"CDK4",0.572283929409463,0.319063907189516,191,0.948313782354604,3.31228305476861,0.0728715773253945,0.178130522350964
"MDM4",0.491908968234976,0.591109518734867,191,0.513428551553639,5.20938775734312,0.405307877236945,0.5572983312008
"PDGFRA",0.698098952316234,0.33221312563083,191,1.04809391023632,3.85443608068952,0.0356094877123715,0.11191553281031
"CDKN2A",0.864136392860814,0.282915631500623,191,1.36292339029713,4.13150125641553,0.00225514136762672,0.012403277521947
"TP53",-0.349146602446451,0.260606080765911,191,0.423193763575349,1.17542752209042,0.180327128081493,0.305168985984065
"FGFR3-TACC3",0.29683390942071,0.591517305624225,191,0.422097602630232,4.28957012808803,0.615795695181505,0.752639182999617
"FGFR3",-0.0486476164381931,0.718378169580231,191,0.233017212187554,3.8936527340364,0.946009584437003,0.991057659886384
"KIAA1549-BRAF",-0.617252087053459,1.00782409429516,191,0.0748289067616063,3.88859084172455,0.540233361674845,0.699125526873328
"NF1",0.0758849301773654,0.377016507637948,191,0.515275357540529,2.25877742997596,0.840481615548032,0.924529777102836
"MSH6",-17.0767366129509,2958.95456689197,191,0,Inf,0.995395269326033,0.995395269326033
"RB1",-0.280976330223225,1.00796263956934,191,0.104711450572516,5.44443584397231,0.780431552882878,0.903657587548595
"CDKN2B",0.741297230938047,0.363602275037603,191,1.0290642222188,4.27996398444318,0.0414741354639218,0.114053872525785
"MDM2",0.71367687462178,0.466336168642089,191,0.818464528260288,5.09204220854461,0.12591986972525,0.251839739450499
"PTPN11",1.02669197914851,0.725434226916131,191,0.673590460068967,11.5711732094766,0.156986648295692,0.287808855208769
"IDH",-1.69357357790028,0.4660954413394,191,0.0737478190587804,0.458386162976172,0.000279565716965275,0.00307522288661802
