"gene","hr","se","n","low","up","pval","fdr"
"ATRX",-1.18720645365579,1.00846362315203,142,0.04226656906859,2.20195571633261,0.239098644082312,0.601550482203661
"TERTp",0.832231725730911,0.264110626935693,142,1.36968996183972,3.85695897420815,0.00162672121929648,0.0292809819473366
"PIK3CA",0.0286691892909001,0.360855102472387,142,0.507329890599343,2.08742697224299,0.936676350060121,0.936676350060121
"FGFR1",-1.65361521353017,1.00954708334491,142,0.0264555017249538,1.38411467375621,0.101426427604084,0.456418924218377
"EGFR",0.388494437553214,0.265533451809815,142,0.87639220583804,2.48166682133206,0.143447803100513,0.516412091161846
"PTEN",0.238918808902431,0.290546784647097,142,0.718533877091623,2.24426941953437,0.410901892059314,0.601550482203661
"BRAF",-2.10712615583893,1.0084627928127,142,0.0168454125832891,0.877590318233079,0.0366678074739668,0.220006844843801
"CDK4",0.260396956300779,0.333161342536898,142,0.675307405575424,2.49273671364637,0.434453126035977,0.601550482203661
"MDM4",0.147175032951193,0.592082613218528,142,0.363024278211127,3.69742130002722,0.803692034675294,0.904153539009705
"PDGFRA",0.446684640646468,0.362412260637013,142,0.768257482955635,3.18037660508134,0.217750490447284,0.601550482203661
"CDKN2A",0.82082509234595,0.303816310686934,142,1.25276870448139,4.12181713869808,0.00689828586372716,0.0620845727735444
"TP53",0.128540384819006,0.280018915708517,142,0.656858533920904,1.96868808576634,0.646204155199708,0.775444986239649
"FGFR3-TACC3",-0.0522880912002874,0.592268535268837,142,0.297270408074617,3.02992209237399,0.929650612138984,0.936676350060121
"KIAA1549-BRAF",-1.00059716954663,1.00921332824062,142,0.050863029991958,2.65760304732789,0.321459794704552,0.601550482203661
"NF1",-0.314502247722672,0.379108896987978,142,0.34730843504501,1.53501098381363,0.406774663810912,0.601550482203661
"CDKN2B",0.244289673544356,0.405676806576254,142,0.57647560451473,2.827524528072,0.547055616431178,0.7033572211258
"MDM2",0.390030268320728,0.467782039991248,142,0.590488166892975,3.69457755602287,0.404401402320692,0.601550482203661
"PTPN11",0.741211802961937,0.725960944593426,142,0.505784038277379,8.70649334310344,0.307250732776367,0.601550482203661
