"gene","hr","se","n","low","up","pval","fdr"
"ATRX",-0.573357152629056,1.01727931535797,142,0.0767510683341716,4.13908052471178,0.573013987193096,0.807614406296322
"TERTp",0.206593706083127,0.302437281979983,142,0.679653292926538,2.22411678521218,0.494546165055099,0.807614406296322
"PIK3CA",0.203639680866476,0.379950228455526,142,0.58213722175854,2.58139111261165,0.591983364452842,0.807614406296322
"FGFR1",-1.1765432936897,1.01626093961583,142,0.0420717773750665,2.25983442392929,0.246979251924008,0.807614406296322
"EGFR",-0.172066992687125,0.28479108379693,142,0.481789847980698,1.47125131688798,0.545719504671608,0.807614406296322
"PTEN",-0.0599822356186306,0.313873963738325,142,0.509072976591245,1.74228841295356,0.848444948398478,0.948326701245424
"BRAF",-1.01401401967399,1.01205609942027,142,0.0499063252933685,2.63683539872605,0.316375182012377,0.807614406296322
"CDK4",-0.143770688873962,0.340674444566258,142,0.444200016366458,1.68866614321,0.673012005246935,0.807614406296322
"MDM4",-0.325000286238205,0.595982729486161,142,0.224673965149051,2.32356907733337,0.58553462311951,0.807614406296322
"PDGFRA",0.558048381545082,0.380154000436939,142,0.829410751813884,3.6808235981305,0.142116864230873,0.807614406296322
"CDKN2A",0.532914753000694,0.318042283434976,142,0.913532187804732,3.17804482911936,0.0938146565613899,0.807614406296322
"TP53",-0.299347472197095,0.321004900325246,142,0.395143805533203,1.39070466413585,0.351061447128757,0.807614406296322
"FGFR3-TACC3",-0.435550271780075,0.596532728887694,142,0.200943212443134,2.08263182096648,0.465306800657178,0.807614406296322
"KIAA1549-BRAF",12.372607171488,5865.68292120196,142,0,Inf,0.998317006723476,0.998317006723476
"NF1",0.190455225328808,0.411882292358113,142,0.539658237360278,2.71211747049812,0.643793013861883,0.807614406296322
"CDKN2B",-0.0541470823211759,0.412805016102506,142,0.421797454199152,2.12747510927175,0.895641884509567,0.948326701245424
"MDM2",0.249241326966451,0.474750463718013,142,0.505982860112144,3.25351235533463,0.599587095418476,0.807614406296322
"PTPN11",0.373073798838711,0.734424158441469,142,0.344255521914348,6.12585720674555,0.61146640016241,0.807614406296322
