"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"ATRX","variable1",-0.566272668964997,0.567637272525191,0.560418557606374,199,0.155266247554956,1.46878584783096,0.269457983063819,0.538915966127639,"All"
"TERTp","variable1",0.31049598386482,1.36410151871869,0.266973112601811,199,0.816961503914112,2.31566272521146,0.23691617647518,0.538915966127639,"All"
"PIK3CA","variable1",-0.04301452296766,0.957897478451911,0.330520421548295,199,0.480296328657634,1.75063194375701,0.894817168960219,0.894817168960219,"All"
"EGFR","variable1",0.426293053128885,1.53156954061995,0.267207531750475,199,0.899900166469019,2.55236823093715,0.114046337499457,0.319329744998479,"All"
"PTEN","variable1",0.223668587501766,1.25065646755398,0.292788649467731,199,0.688406094724642,2.16773917056972,0.449667134231153,0.645570151440962,"All"
"BRAF","variable1",-0.239687072106753,0.786874057384725,0.656879409890203,199,0.160276671986585,2.36737639889344,0.706623793482583,0.788325527200154,"All"
"CDK4","variable1",0.239193580887318,1.27022440395267,0.320033894084715,199,0.653097356078407,2.28533072120517,0.461121536743544,0.645570151440962,"All"
"PDGFRA","variable1",0.947699514617338,2.57976810888608,0.341905703850095,199,1.26977565182677,4.84297836484117,0.010491119262277,0.0686954339292893,"All"
"CDKN2A","variable1",0.736343437124839,2.08828558924325,0.286901024808543,199,1.1645163022866,3.57741399638933,0.0147204501277048,0.0686954339292893,"All"
"TP53","variable1",0.256041358212719,1.29180615362859,0.271248435000319,199,0.751992538963068,2.17215316590621,0.346949888960596,0.607162305681044,"All"
"NF1","variable1",0.132748096048552,1.14196229728081,0.384084077556515,199,0.503741262719071,2.29436096671,0.732016560971572,0.788325527200154,"All"
"CDKN2B","variable1",0.738573488939763,2.09294777083274,0.379893404229737,199,0.940395489499415,4.19824262087778,0.0687253551996011,0.240538743198604,"All"
"MDM2","variable1",0.194802205481765,1.21507062841019,0.465270785878617,199,0.436772376149324,2.76408836407343,0.680410461049722,0.788325527200154,"All"
"IDH","variable1",-1.08585615239477,0.337612614276673,0.463294421292921,199,0.121894132765045,0.763241735099936,0.00711202824827217,0.0686954339292893,"All"
