"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp","variable1",0.325996412038828,1.38541039806515,0.301892611373729,105,0.783925661888894,2.55210214262233,0.267460486757514,0.75636332812592,"GBM"
"PIK3CA","variable1",-0.131344877325931,0.876915294033059,0.390594909840785,105,0.38586156959311,1.77157432652601,0.728928795902442,0.946256873646145,"GBM"
"EGFR","variable1",-0.0188612308446571,0.981315529121807,0.28319792272129,105,0.560067635842425,1.6884161167299,0.946256873646145,0.946256873646145,"GBM"
"PTEN","variable1",0.126091893279697,1.13438640598087,0.302166375148138,105,0.615670881859483,2.01606906606218,0.67702259906062,0.946256873646145,"GBM"
"BRAF","variable1",0.14537447119702,1.15647255485477,0.68717622428611,105,0.229255323443866,3.70061831458973,0.83379582943107,0.946256873646145,"GBM"
"CDK4","variable1",0.0495063542266338,1.05075226891166,0.340007390551126,105,0.519349953127579,1.96082466948958,0.883301010871659,0.946256873646145,"GBM"
"MDM4","variable1",0.163863489800799,1.1780534877994,0.515856346478309,105,0.375159167723931,2.8898426685084,0.752262701976701,0.946256873646145,"GBM"
"PDGFRA","variable1",0.164906032164092,1.17928229889917,0.413750401587736,105,0.486388748786659,2.49217503103084,0.693611792472419,0.946256873646145,"GBM"
"CDKN2A","variable1",0.646115586889483,1.9081145098874,0.313067651809755,105,1.01231046738303,3.43560948478524,0.0459422314090485,0.75636332812592,"GBM"
"TP53","variable1",0.0822104422371235,1.08568425961537,0.325839412739917,105,0.561712585150331,2.01089539783963,0.800188954771076,0.946256873646145,"GBM"
"FGFR3-TACC3","variable1",-0.793367784940982,0.452318914476669,0.57485454314913,105,0.122063182409915,1.19732179141016,0.11880793085054,0.75636332812592,"GBM"
"FGFR3","variable1",-0.674795425113098,0.50926059187976,0.704916587882166,105,0.0989371992389936,1.67714265209256,0.294141294271191,0.75636332812592,"GBM"
"NF1","variable1",0.572267174780783,1.77228056985316,0.431208070858767,105,0.71239936328856,3.91549397274119,0.20428231857835,0.75636332812592,"GBM"
"RB1","variable1",0.0758824778328577,1.07883577958804,0.698791262731891,105,0.209026784214483,3.5629426029341,0.913941764896554,0.946256873646145,"GBM"
"MET","variable1",0.373167910455361,1.45232818044662,0.714584493279929,105,0.280395094209345,4.94184728039825,0.609554999396625,0.946256873646145,"GBM"
"CDKN2B","variable1",0.471947245190057,1.60311280958416,0.423453008419624,105,0.650331238278279,3.46193964057426,0.284578659747108,0.75636332812592,"GBM"
"MDM2","variable1",0.351453720468475,1.42113197632165,0.474367531116841,105,0.505631337199855,3.30312337998758,0.471747933149206,0.946256873646145,"GBM"
"PTPN11","variable1",0.925281361997351,2.52257791807961,0.699200271939222,105,0.497260471786418,8.16481254961694,0.226373212982332,0.75636332812592,"GBM"
