"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"ATRX","variable1",-0.331200879803812,0.718060910616903,0.580030518581686,199,0.191984367247979,1.94167592528598,0.546900836532287,0.826885071418098,"All"
"TERTp","variable1",0.237098778108254,1.26756631939471,0.26923246228539,199,0.756716173302276,2.16121463885987,0.3704422298683,0.826885071418098,"All"
"PIK3CA","variable1",-0.18328120591147,0.832534009332034,0.334528560930232,199,0.414819654186313,1.53558261038868,0.572622610466262,0.826885071418098,"All"
"EGFR","variable1",0.217022368816275,1.24237189221555,0.275676884704325,199,0.719864354651038,2.10279185264518,0.428832375073521,0.826885071418098,"All"
"PTEN","variable1",-0.0211767164494102,0.979045935759814,0.298358375754031,199,0.535734120326185,1.71724518001649,0.942766401249648,0.942766401249648,"All"
"BRAF","variable1",-0.0638278496114687,0.938166491355884,0.664882846485628,199,0.189876729055347,2.86550741805215,0.9227560282488,0.942766401249648,"All"
"CDK4","variable1",0.431028786738417,1.53883984749943,0.333455112588594,199,0.7754019101725,2.84290966038539,0.20688724740352,0.724105365912322,"All"
"MDM4","variable1",0.624872236178132,1.86800727843611,0.517349837074492,199,0.598350091260219,4.5434861063926,0.252308362007029,0.756925086021088,"All"
"PDGFRA","variable1",0.86514418308153,2.37534854636114,0.35182750242658,199,1.15458160928243,4.54224682065905,0.020346911295279,0.213642568600429,"All"
"CDKN2A","variable1",0.812839501129278,2.25429999470539,0.304391353981788,199,1.22031554776623,4.00504679489421,0.0104673292566012,0.213642568600429,"All"
"TP53","variable1",0.580957826075241,1.78774996447539,0.284261759207344,199,1.01675371587636,3.08223243856835,0.0437833007885846,0.306483105520092,"All"
"FGFR3-TACC3","variable1",0.0587130140802879,1.06047085686112,0.589214197371096,199,0.280786775457833,2.91483259302882,0.9198916374504,0.942766401249648,"All"
"FGFR3","variable1",0.378922537209201,1.46070988069693,0.676187161761559,199,0.292983529601656,4.51559965245941,0.59063219387007,0.826885071418098,"All"
"NF1","variable1",0.14538210613964,1.15648138449008,0.409364838110717,199,0.488612311481713,2.46327958873846,0.724925566053526,0.856257530472924,"All"
"RB1","variable1",0.305800901321396,1.35771196097871,0.691976314772076,199,0.267287133261236,4.36953088074552,0.666916656695411,0.856257530472924,"All"
"CDK6","variable1",0.562371848534879,1.75482975854548,0.705137035127215,199,0.338214187002986,5.79387972551512,0.450266782328511,0.826885071418098,"All"
"MET","variable1",0.734161061161625,2.08373313435987,0.706918817847331,199,0.405764114594293,6.95364821692572,0.330913918181977,0.826885071418098,"All"
"CDKN2B","variable1",0.569837246060769,1.76797928242391,0.407633885371058,199,0.756751695311657,3.74164588693051,0.178165397715132,0.724105365912322,"All"
"MDM2","variable1",0.163940462370706,1.17814416909378,0.481517229416174,199,0.415993630390046,2.76068905859312,0.733935026119649,0.856257530472924,"All"
"PTPN11","variable1",0.492652467057453,1.63665163218337,0.737004218173439,199,0.307559477308998,5.69959976570674,0.514391891298989,0.826885071418098,"All"
"IDH","variable1",-0.665538833559058,0.513996494515462,0.488834840313707,199,0.178556433448933,1.23543848390703,0.144101823649529,0.724105365912322,"All"
