"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp","variable1",0.397511956060832,1.48811758588484,0.289919312057161,152,0.858702885417858,2.66020268970759,0.158732363808128,0.753978728088608,"IDH wild-type"
"PIK3CA","variable1",-0.340741596710897,0.711242671908586,0.363625419752892,152,0.330838880813512,1.37391645251965,0.325545558487563,0.883623658751956,"IDH wild-type"
"EGFR","variable1",0.0722850737202364,1.07496174373189,0.282990295123152,152,0.61454287926484,1.84547639842605,0.796019337209546,0.905852666397313,"IDH wild-type"
"PTEN","variable1",-0.0705450027186805,0.931885801187585,0.298702279510802,152,0.510545894497642,1.63740445443845,0.810499754144964,0.905852666397313,"IDH wild-type"
"BRAF","variable1",-0.255443544999741,0.774572863837426,0.673114015289955,152,0.155102352639034,2.42626043812205,0.694768095729358,0.905852666397313,"IDH wild-type"
"CDK4","variable1",0.279446262515753,1.32239734857886,0.350772663350121,152,0.642465065571591,2.51855402929318,0.429656859551023,0.904325883382057,"IDH wild-type"
"MDM4","variable1",0.548593715379877,1.73081728387463,0.525019723066999,152,0.548515937900352,4.28799792975866,0.315628185790014,0.883623658751956,"IDH wild-type"
"PDGFRA","variable1",0.589398804213875,1.80290419111249,0.380213329521587,152,0.819654335385109,3.60810315202351,0.135213260860762,0.753978728088608,"IDH wild-type"
"CDKN2A","variable1",0.676658405817993,1.96729284202721,0.322879228311925,152,1.02557886000956,3.60987778042767,0.0421162980406324,0.753978728088608,"IDH wild-type"
"TP53","variable1",0.472144271171411,1.60342869557654,0.29701757474746,152,0.886137832857776,2.82199840644687,0.116222300597919,0.753978728088608,"IDH wild-type"
"FGFR3-TACC3","variable1",-0.0612492128146082,0.940588803781817,0.595483958028263,152,0.247043837415348,2.62183207047196,0.91609434405689,0.91609434405689,"IDH wild-type"
"FGFR3","variable1",0.340443402997978,1.40557068666838,0.684021655281991,152,0.279199896525683,4.42021337416316,0.630215475682931,0.905852666397313,"IDH wild-type"
"NF1","variable1",0.0566679381394525,1.05830432953734,0.41555305531432,152,0.442479280968937,2.29014933532361,0.891827186219051,0.91609434405689,"IDH wild-type"
"RB1","variable1",0.46259490986546,1.58818985204824,0.694530056420495,152,0.312076616673658,5.12654619806314,0.523557090379086,0.904325883382057,"IDH wild-type"
"CDK6","variable1",0.491926672250829,1.63546418990032,0.702197208106554,152,0.316992986929312,5.37040716830443,0.503653817872608,0.904325883382057,"IDH wild-type"
"MET","variable1",0.76265525896247,2.14396144212311,0.714636045232103,152,0.41369945922539,7.28776967669975,0.31739587630675,0.883623658751956,"IDH wild-type"
"CDKN2B","variable1",0.182237068875483,1.19989861878064,0.448082165961876,152,0.465747722681367,2.7140503990124,0.686827173371542,0.905852666397313,"IDH wild-type"
"MDM2","variable1",0.147976262304645,1.15948537252576,0.487469033830935,152,0.405648381419406,2.74905752044166,0.76113620376556,0.905852666397313,"IDH wild-type"
"PTPN11","variable1",0.52926302489874,1.69768069906756,0.736668744016433,152,0.319247703117878,5.89597791149489,0.484932725637317,0.904325883382057,"IDH wild-type"
