"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp","variable1",0.326590732307592,1.38623402026872,0.282444294559999,105,0.811278793576471,2.44931992448817,0.236103460003695,0.993172002249341,"GBM"
"PIK3CA","variable1",0.0101258541309837,1.01017729406976,0.381209807323408,105,0.450149511785346,2.00496877649504,0.97855649898817,0.993172002249341,"GBM"
"EGFR","variable1",0.0431145435857282,1.04405747808898,0.273112453280092,105,0.605427330204667,1.76146941787557,0.873769451189755,0.993172002249341,"GBM"
"PTEN","variable1",-0.0209029827274745,0.979313970331133,0.288538547512946,105,0.545305959243496,1.68583292282964,0.941652349083658,0.993172002249341,"GBM"
"CDK4","variable1",-0.0444233084598247,0.956548956493404,0.336244598323434,105,0.474838035838701,1.77396203557355,0.893442282125406,0.993172002249341,"GBM"
"PDGFRA","variable1",0.00337128482876241,1.00337697400094,0.397923285407442,105,0.426410068943688,2.04116865052241,0.993172002249341,0.993172002249341,"GBM"
"CDKN2A","variable1",0.623151533550424,1.8647957572324,0.308509981331134,105,0.995596440958657,3.33156993478881,0.0515507301968346,0.515507301968346,"GBM"
"TP53","variable1",-0.0690801854710333,0.933251843839162,0.301716269693696,105,0.506145542704705,1.64701216844245,0.816501991743494,0.993172002249341,"GBM"
"NF1","variable1",0.19849998428046,1.21957200824314,0.39946894582731,105,0.51603349018904,2.49859422645834,0.624880820764066,0.993172002249341,"GBM"
"CDKN2B","variable1",0.418557426893869,1.51976759766278,0.409626195177746,105,0.630801590526615,3.18587521770377,0.326563969100581,0.993172002249341,"GBM"
