"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp","variable1",0.410430861904439,1.5074671553778,0.285859749682457,105,0.876731906431968,2.68165880946708,0.139789845998791,0.698949229993954,"WT-GBM"
"PIK3CA","variable1",-0.103676960003733,0.901516476266593,0.390183943570395,105,0.396402883410822,1.82265735290297,0.785240226798642,0.966467459980769,"WT-GBM"
"EGFR","variable1",0.0607924811969649,1.06267836556156,0.277287739659143,105,0.611902265082294,1.80771796612197,0.825330769016281,0.966467459980769,"WT-GBM"
"PTEN","variable1",0.0177682555585222,1.01792705011785,0.289714613161099,105,0.565431010602211,1.75721734501147,0.950748764987632,0.966467459980769,"WT-GBM"
"CDK4","variable1",0.0752098763235071,1.07811039698841,0.340342772541918,105,0.531793487177572,2.0158956840757,0.82450123014563,0.966467459980769,"WT-GBM"
"PDGFRA","variable1",0.0167712967432131,1.01691272447636,0.402869957729481,105,0.429308773719041,2.09145763001,0.966467459980769,0.966467459980769,"WT-GBM"
"CDKN2A","variable1",0.679425418896599,1.97274390515408,0.311731755050313,105,1.04788905405277,3.54632778960774,0.035970393218654,0.35970393218654,"WT-GBM"
"TP53","variable1",-0.0513065012698742,0.949987453544643,0.311220017011418,105,0.506421691995272,1.7069328752444,0.867328306691144,0.966467459980769,"WT-GBM"
"NF1","variable1",0.424389252979309,1.52865651209135,0.422099134877182,105,0.625375741463165,3.30385674061886,0.329852168471851,0.824630421179627,"WT-GBM"
"CDKN2B","variable1",0.475291019413324,1.60848222893397,0.421560802397361,105,0.65528632656828,3.46257161248654,0.279126438005452,0.824630421179627,"WT-GBM"
