"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp","variable1",0.374162815556144,1.45377382818327,0.28830679108163,148,0.840896725935258,2.59268715668027,0.183185074714741,0.651534305315163,"WT"
"PIK3CA","variable1",-0.321251205493668,0.725241043570969,0.360003798059399,148,0.339299103484394,1.38920114420832,0.349267501216643,0.651534305315163,"WT"
"EGFR","variable1",0.181270359726215,1.19873922629562,0.274370291077408,148,0.694925687934422,2.02583484058279,0.507184011668831,0.72454858809833,"WT"
"PTEN","variable1",0.0723753659765839,1.07505880883527,0.290758786730724,148,0.594855121526187,1.85736944342558,0.80305312021958,0.831801053593033,"WT"
"BRAF","variable1",-0.603372640005457,0.546963809792668,0.66424771471252,148,0.110494459646358,1.67868741985523,0.32524339262829,0.651534305315163,"WT"
"CDK4","variable1",0.110388856222145,1.11671222653889,0.337564778961808,148,0.553639291582551,2.07335443558282,0.743449692624727,0.831801053593033,"WT"
"CDKN2A","variable1",0.667011513735963,1.9484058272556,0.309038869669924,148,1.04010083727394,3.47769479807393,0.0378826505903967,0.378826505903967,"WT"
"TP53","variable1",0.312664216814372,1.36706241737714,0.290171678562315,148,0.763971362454041,2.3746389182963,0.284717358452601,0.651534305315163,"WT"
"NF1","variable1",-0.0807179574665734,0.922453825972429,0.385284375370964,148,0.4065240762991,1.86012475632141,0.831801053593033,0.831801053593033,"WT"
"CDKN2B","variable1",0.371238548457827,1.44952881501034,0.418694851089051,148,0.592225802326802,3.09321359967995,0.390920583189098,0.651534305315163,"WT"
