"gene","logHR","HR","se","n","low","up","pval","fdr","study"
"ATRX",-1.16185141506068,0.312906324788789,0.552803376102563,199,0.0864605086696586,0.793969620940172,0.0111946745475543,0.047017633099728,"All"
"TERTp",0.990643343725432,2.69296641821923,0.246208094401617,199,1.67328788622459,4.38201039406979,4.72801226288899e-05,0.000496441287603344,"All"
"PIK3CA",0.446284734316575,1.56249629951713,0.325684349354482,199,0.787920127233914,2.83250473038732,0.189264225524652,0.264969915734513,"All"
"EGFR",0.926498441386293,2.52564996475384,0.256639205624381,199,1.50880857135671,4.11795767750138,0.000622649360779826,0.00435854552545878,"All"
"PTEN",0.722613031283618,2.05980852877209,0.279859721613772,199,1.16233031857664,3.47864425554425,0.0146443598849632,0.051255259597371,"All"
"BRAF",-0.922984306054804,0.397331511154984,0.649023198720647,199,0.082465111302419,1.14942951126509,0.0962166127398085,0.159938337057646,"All"
"CDK4",0.653420832143144,1.9221047933624,0.315363126224192,199,0.994304448821715,3.42928760911629,0.051870693332455,0.121031617775728,"All"
"MDM4",0.765658212406955,2.15040933503625,0.492071213810759,199,0.705333311152646,5.00844262871818,0.158758941136325,0.238138411704488,"All"
"PDGFRA",0.782712360210154,2.18739723576504,0.328113171671454,199,1.09879976641168,3.98641576424253,0.027460096704505,0.082380290113515,"All"
"CDKN2A",0.930847271884653,2.53665750596603,0.281089043639208,199,1.42843375791497,4.29535786753713,0.00210994835204525,0.0110772288482376,"All"
"TP53",-0.212581787746889,0.808494188699208,0.256124285110848,199,0.48344272745024,1.31679156635745,0.398198944265998,0.471376253478201,"All"
"FGFR3-TACC3",0.492540381224837,1.63646819700291,0.553800743166348,199,0.451682518652969,4.16123292071981,0.4040367886956,0.471376253478201,"All"
"FGFR3",0.216942665593432,1.24227287511781,0.649523660791982,199,0.257704949992648,3.5974674204152,0.744736698259863,0.744736698259863,"All"
"NF1",0.17680230569073,1.19339514237649,0.369317483106445,199,0.539908597297603,2.31440373615207,0.637148511785142,0.669005937374399,"All"
"RB1",0.438429160534257,1.55027007941204,0.649991055454647,199,0.321464106254308,4.49370810958924,0.524447824865168,0.579652859061501,"All"
"CDK6",0.773145354821913,2.16657017975673,0.652008113949891,199,0.448460063388335,6.30619738264041,0.285230047877082,0.374364437838671,"All"
"MET",1.32585302153136,3.76539594927104,0.660147608957409,199,0.773803822827507,11.1451252517544,0.0900188736139161,0.159938337057646,"All"
"CDKN2B",0.828773607330021,2.29050795488678,0.357754550873806,199,1.07299025871613,4.38004261413883,0.0336032918198929,0.0882086410272187,"All"
"MDM2",0.841675077781437,2.32025032318317,0.449478344850735,199,0.854686488856191,5.08142095159158,0.0919020090526003,0.159938337057646,"All"
"PTPN11",1.28408364883338,3.61135716917183,0.660710375464269,199,0.741454006724389,10.7029718002677,0.0990094467499715,0.159938337057646,"All"
"IDH",-1.61504882801393,0.198880959241484,0.449033802354053,199,0.0732949595890451,0.435126944226714,6.20443883880828e-06,0.000130293215614974,"All"
