"gene","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp",0.301160620930622,1.35142639147083,0.279883370349358,105,0.794908699127804,2.37550220869755,0.27051280323471,0.966982473296798,"GBM"
"PIK3CA",0.260428128901086,1.29748545879551,0.375687064027302,105,0.581775205133444,2.55203754656143,0.497592855339053,0.966982473296798,"GBM"
"EGFR",-0.102142145641806,0.902901199076282,0.271492872432395,105,0.525269770724618,1.51827121807598,0.7033156826605,0.966982473296798,"GBM"
"PTEN",0.0168899623847789,1.01703340423735,0.28795634424415,105,0.566785448092972,1.74905154431104,0.952881234776343,0.966982473296798,"GBM"
"BRAF",-0.276976060781179,0.75807264456021,0.653418587601566,105,0.156699053350913,2.21296278778863,0.655357741200413,0.966982473296798,"GBM"
"CDK4",-0.109290993428132,0.896469512802555,0.332736509963067,105,0.447326874672146,1.65073881537032,0.737704668430474,0.966982473296798,"GBM"
"MDM4",0.0295128828540007,1.02995270411674,0.495413118253772,105,0.33652349538072,2.41627616122297,0.952279122313025,0.966982473296798,"GBM"
"PDGFRA",0.0192067762031215,1.01939241291877,0.395266801886107,105,0.434537423473944,2.06433208170123,0.960998416039901,0.966982473296798,"GBM"
"CDKN2A",0.501693541350777,1.65151581401738,0.307063567339531,105,0.88440222885567,2.94027745214149,0.111824890208333,0.966982473296798,"GBM"
"TP53",-0.139048592865441,0.870185742612165,0.29312247923645,105,0.478745084510822,1.50806469640519,0.628979885434499,0.966982473296798,"GBM"
"FGFR3-TACC3",-0.259960436533793,0.771082091880384,0.556446887839693,105,0.212245568152703,1.97178947873424,0.624323880084306,0.966982473296798,"GBM"
"FGFR3",-0.131285173810744,0.876967650521552,0.655465241501239,105,0.180891147143944,2.5710001063478,0.836565894899937,0.966982473296798,"GBM"
"NF1",0.0163052291399183,1.01643888482933,0.396716371107251,105,0.43243799031816,2.06499530520684,0.966982473296798,0.966982473296798,"GBM"
"RB1",0.236671748125587,1.26702514612814,0.65798676278736,105,0.260882268234106,3.73353785056545,0.72535180567086,0.966982473296798,"GBM"
"MET",0.663827809011869,1.94221254244521,0.663793543542584,105,0.397842569047845,5.79220750439968,0.355693394361334,0.966982473296798,"GBM"
"CDKN2B",-0.0279723620627841,0.972415241981264,0.39985309404133,105,0.411997766024263,1.98942875018273,0.943488810957941,0.966982473296798,"GBM"
"MDM2",0.128279143445705,1.13687030830329,0.453481308232324,105,0.416729008585315,2.51175497519928,0.779016970437881,0.966982473296798,"GBM"
"PTPN11",0.65045313581009,1.91640902584989,0.662872282036737,105,0.392732122438954,5.70499495666215,0.364402793118635,0.966982473296798,"GBM"
