"gene","logHR","HR","se","n","low","up","pval","fdr","study"
"TERTp",0.930906500484065,2.53680775308672,0.261050717719355,152,1.53798616221031,4.26865433606001,0.000249773368900863,0.0047456940091164,"IDH wilde-type"
"PIK3CA",0.192620148432449,1.21242216557941,0.354705963721083,152,0.570499907440342,2.302873685632,0.592568748064734,0.750587080881997,"IDH wilde-type"
"EGFR",0.5324344269603,1.70307327362771,0.264117422630108,152,1.00284694814372,2.81752061730986,0.0488248798075052,0.23191817908565,"IDH wilde-type"
"PTEN",0.418359289054033,1.51946650402393,0.283247572085438,152,0.852996567772948,2.58570732467085,0.149944668347,0.459186397030077,"IDH wilde-type"
"BRAF",-1.25360823076499,0.285472884246829,0.650633097107579,152,0.0591629775618088,0.828573840712839,0.0173371741441489,0.109802102912943,"IDH wilde-type"
"CDK4",0.299753352267304,1.34952590901768,0.328634412833884,152,0.677580530812306,2.46253494500896,0.373408899282053,0.545751468181462,"IDH wilde-type"
"MDM4",0.484715130709119,1.62371239715625,0.493553447919435,152,0.531671779815229,3.79390275319724,0.354873538157088,0.545751468181462,"IDH wilde-type"
"PDGFRA",0.441934365411473,1.55571362845924,0.3554526303181,152,0.731192896054076,2.95975198253241,0.233983202589992,0.496472075994914,"IDH wilde-type"
"CDKN2A",0.934508159485268,2.54596094300482,0.301694818616407,152,1.37456228728887,4.47819116798699,0.00387397299509129,0.0368027434533673,"IDH wilde-type"
"TP53",0.119748143458912,1.12721291987878,0.273894009689501,152,0.647443972766405,1.89102655219577,0.662003143454584,0.76451388037117,"IDH wilde-type"
"FGFR3-TACC3",0.199925463076687,1.22131172194927,0.554910595726043,152,0.336713027052828,3.11290407702119,0.724276307720056,0.76451388037117,"IDH wilde-type"
"FGFR3",-0.0275901863095601,0.972786946532524,0.652208352093352,152,0.201292531235742,2.83273281621873,0.965825098206451,0.965825098206451,"IDH wilde-type"
"NF1",-0.141108653016738,0.868394952840227,0.371450288872436,152,0.391729340337596,1.692113594349,0.696882050779511,0.76451388037117,"IDH wilde-type"
"RB1",0.63673354049599,1.89029620780116,0.656487739746768,152,0.389728006906395,5.55296203196131,0.371295926114939,0.545751468181462,"IDH wilde-type"
"CDK6",0.514728975798703,1.67318496672159,0.653557651901212,152,0.345860949670424,4.88563138196054,0.461159067168271,0.625858734014082,"IDH wilde-type"
"MET",1.04787675957068,2.85159007447981,0.66137283261445,152,0.585381264200339,8.46173292420658,0.165276924185595,0.459186397030077,"IDH wilde-type"
"CDKN2B",0.393767517127934,1.48255583976722,0.396678213650929,152,0.630801433972934,3.01173243222517,0.339632556543735,0.545751468181462,"IDH wilde-type"
"MDM2",0.573654502738068,1.77474101056033,0.451172038010223,152,0.652402576195351,3.90121286002749,0.235170983366012,0.496472075994914,"IDH wilde-type"
"PTPN11",1.03735986641937,2.82175735508655,0.661698863150808,152,0.578846065607199,8.37987035178299,0.169173935747923,0.459186397030077,"IDH wilde-type"
