"gene","OR","pval","fdr"
"ATRX",0.388073952155266,0.511956228857687,0.964046264693552
"TERTp",2.36866020648999,0.34152775405243,0.964046264693552
"PIK3CA",2.27956273033355,0.610648990797408,0.992304610045789
"EGFR",1.77274348859867,0.519101834834989,0.964046264693552
"PTEN",2.45353179713932,0.346917706543729,0.964046264693552
"CDK4",1.4233491312949,0.713627590235404,0.994084255609765
"PDGFRA",0.955133230827976,0.981541802168402,0.994084255609765
"CDKN2A",0.0996152378380988,0.045724097774832,0.594413271072817
"TP53",0.508806978269902,0.450511111590203,0.964046264693552
"NF1",0.13423406904611,0.167403478264398,0.964046264693552
"CDKN2B",1.81399212358635e-08,0.994084255609765,0.994084255609765
"MDM2",0.930827592002128,0.954805227836922,0.994084255609765
"PTPN11",6.94357674567797e-08,0.993642374719705,0.994084255609765
