"gene","OR","pval","fdr"
"ATRX",1.02947698870782,0.981231519760578,0.994374361197895
"TERTp",1.38546432686246,0.654612202865707,0.994374361197895
"PIK3CA",2.73204597762527,0.509581853238013,0.994374361197895
"EGFR",0.794239494954605,0.753953087247049,0.994374361197895
"PTEN",1.30881677530301,0.725202528312361,0.994374361197895
"CDK4",1.24414797404608,0.797785416985888,0.994374361197895
"PDGFRA",1.96082641472833,0.618423772375644,0.994374361197895
"CDKN2A",0.145269049061741,0.0557025833211236,0.724133583174607
"TP53",0.644836813509685,0.5830595970747,0.994374361197895
"NF1",0.736758634728911,0.761419411358986,0.994374361197895
"CDKN2B",9.32253720809744e-09,0.994374361197895,0.994374361197895
"MDM2",0.856713504958579,0.88070370071558,0.994374361197895
"PTPN11",3.91071759318607e-08,0.993047084032048,0.994374361197895
