"gene","OR","pval","fdr"
"ATRX",0.952380952380981,0.962855923403042,0.993797127537287
"TERTp",1.29629629617507,0.667898743530826,0.993797127537287
"PIK3CA",0.952380952380979,0.962855923403041,0.993797127537287
"FGFR1",16396663.6845478,0.992188101867732,0.993797127537287
"EGFR",1.09999999999657,0.873363280235123,0.993797127537287
"PTEN",0.933333333333639,0.911816346733318,0.993797127537287
"BRAF",0.954545454545476,0.974348496184102,0.993797127537287
"CDK4",1.81333333333333,0.375219216093935,0.993797127537287
"MDM4",0.954545454545476,0.974348496184102,0.993797127537287
"PDGFRA",3.14999999999066,0.337464272836994,0.993797127537287
"CDKN2A",0.253968253969007,0.119935043155062,0.993797127537287
"TP53",0.756302521090039,0.67193899094864,0.993797127537287
"FGFR3-TACC3",5757812.8599728,0.991466463148521,0.993797127537287
"FGFR3",5757812.8599504,0.991466463148535,0.993797127537287
"NF1",0.950000000000039,0.95336566444175,0.993797127537287
"MSH6",16396663.6844577,0.992188101867746,0.993797127537287
"RB1",5.55584417984384e-08,0.99214425722769,0.993797127537287
"FGFR1-TACC1",5757812.85996854,0.991466463148517,0.993797127537287
"KRAS",5757812.85995073,0.991466463148535,0.993797127537287
"CDKN2B",0.287878787879643,0.297974814321406,0.993797127537287
"MDM2",0.95000000000004,0.953365664441751,0.993797127537287
"PTPN11",1.94168668544243e-08,0.993797127537287,0.993797127537287
