"Gene","pval","fdr"
"ATRX",0.0823441496934097,0.128090899523082
"BRAF",0.58754261858145,0.649037690500347
"CDK4",0.000661028164515285,0.0023135985758035
"CDKN2A",0.00633264823439191,0.0177314150562974
"CDKN2B",0.0210912041426082,0.0492128096660858
"EGFR",3.69219739579806e-07,2.58453817705864e-06
"IDH",2.09201577057334e-05,9.76274026267561e-05
"MDM2",0.0996009694515899,0.139441357232226
"NF1",0.649037690500347,0.649037690500347
"PDGFRA",0.608015639916073,0.649037690500347
"PIK3CA",0.524532946898907,0.649037690500347
"PTEN",0.0274316486424419,0.0548632972848838
"TERTp",1.99681411656646e-08,2.79553976319304e-07
"TP53",0.0447277697958039,0.0782735971426569
