"","Gene","pval","fdr"
"1","ATRX",0.546055676689529,0.715542095760828
"2","CDK4",0.382978723404255,0.715542095760828
"3","CDKN2A",0.402934711414654,0.715542095760828
"4","CDKN2B",0.549306197964848,0.715542095760828
"5","EGFR",0.382978723404255,0.715542095760828
"6","PDGFRA",0.631250525607603,0.715542095760828
"7","PIK3CA",0.661571288036878,0.715542095760828
"8","PTEN",0.382978723404255,0.715542095760828
"9","TERTp",0.715542095760828,0.715542095760828
"10","TP53",0.343425495491193,0.715542095760828
