"","Gene","pval","fdr"
"1","ATRX",0.683079745182429,0.865252629025371
"2","BRAF",0.136966980129515,0.296761790280616
"3","CDK4",0.0148154249875507,0.0481501312095399
"4","CDKN2A",0.00881119380798341,0.0381818398345948
"5","CDKN2B",0.070224442923525,0.182583551601165
"6","EGFR",6.6189393774397e-05,0.000430231059533581
"7","MDM2",0.288098509233111,0.468160077503805
"8","NF1",0.798694734484958,0.865252629025371
"9","PDGFRA",0.759479035313664,0.865252629025371
"10","PIK3CA",0.797615609972083,0.865252629025371
"11","PTEN",0.268992778673669,0.468160077503805
"12","TERTp",8.93911936735475e-08,1.16208551775612e-06
"13","TP53",1,1
