"","Gene","pval","fdr"
"1","ATRX",0.459961493008238,0.854214201301014
"2","BRAF",0.459961493008238,0.854214201301014
"3","CDK4",0.682652695521485,0.893653175883803
"4","CDKN2A",0.687425519910618,0.893653175883803
"5","CDKN2B",1,1
"6","EGFR",0.309196613417175,0.854214201301014
"7","MDM2",1,1
"8","NF1",0.632778025449446,0.893653175883803
"9","PDGFRA",0.319844041188899,0.854214201301014
"10","PIK3CA",1,1
"11","PTEN",0.457724067114838,0.854214201301014
"12","TERTp",0.0134454706471903,0.174791118413473
"13","TP53",0.155847163170551,0.854214201301014
