"","Gene","pval","fdr"
"1","ATRX",0.675882169650672,0.866352658797863
"2","BRAF",0.794860516144649,0.866352658797863
"3","CDK4",0.491351667554926,0.866352658797863
"4","CDKN2A",0.840045200400384,0.866352658797863
"5","CDKN2B",0.810138385509026,0.866352658797863
"6","EGFR",0.595161922524966,0.866352658797863
"7","IDH",0.866352658797863,0.866352658797863
"8","MDM2",0.742611501465904,0.866352658797863
"9","NF1",0.113980924257853,0.866352658797863
"10","PDGFRA",0.802366272635126,0.866352658797863
"11","PIK3CA",0.675882169650672,0.866352658797863
"12","PTEN",0.244601469201881,0.866352658797863
"13","TERTp",0.653916729888113,0.866352658797863
"14","TP53",0.363667234572877,0.866352658797863
