"","Gene","pval","fdr"
"1","ATRX",0.712812376631879,0.932746973105529
"2","BRAF",0.789247438781601,0.932746973105529
"3","CDK4",0.486720326962646,0.932746973105529
"4","CDKN2A",1,1
"5","CDKN2B",0.593367261401334,0.932746973105529
"6","EGFR",0.458771793267155,0.932746973105529
"7","MDM2",0.740646229552281,0.932746973105529
"8","NF1",0.103529748573284,0.932746973105529
"9","PDGFRA",0.782582071634634,0.932746973105529
"10","PIK3CA",1,1
"11","PTEN",0.158637066718787,0.932746973105529
"12","TERTp",0.615758359118972,0.932746973105529
"13","TP53",0.458255369721067,0.932746973105529
