"","Gene","pval","fdr"
"1","ATRX",0.67185936183567,0.948124037364299
"2","BRAF",0.198403175554563,0.779336250561565
"3","CDK4",0.802258800846715,0.948124037364299
"4","CDKN2A",1,1
"5","CDKN2B",0.590185516726207,0.948124037364299
"6","EGFR",0.542521539930781,0.948124037364299
"7","MDM2",0.738332236458827,0.948124037364299
"8","NF1",0.0842219491851053,0.547442669703185
"9","PDGFRA",0.366469316812774,0.948124037364299
"10","PIK3CA",0.239795769403559,0.779336250561565
"11","PTEN",0.0768920315748219,0.547442669703185
"12","TERTp",0.538667462613229,0.948124037364299
"13","TP53",1,1
