"Gene","pval","fdr"
"ATRX",0.0851248023763981,0.132416359252175
"BRAF",0.590060859438192,0.688404336011224
"CDK4",0.00253571616544067,0.00887500657904234
"CDKN2A",0.00392151619372193,0.0109802453424214
"CDKN2B",0.0128433091913809,0.0299677214465553
"EGFR",3.6975150306453e-07,2.58826052145171e-06
"IDH",5.22199736360809e-05,0.000243693210301711
"MDM2",0.0976789512002685,0.136750531680376
"NF1",0.647771537537449,0.697600117348022
"PDGFRA",0.803702002000595,0.803702002000595
"PIK3CA",0.522454022763739,0.664941483517486
"PTEN",0.0182382690157473,0.0364765380314947
"TERTp",1.18420072469457e-08,1.6578810145724e-07
"TP53",0.0224917127281564,0.0393604972742736
