"","Gene","pval","fdr"
"1","ATRX",0.679599469162265,0.883479309910944
"2","BRAF",0.191076077334531,0.413998167558149
"3","CDK4",0.0156532553982773,0.0508730800444013
"4","CDKN2A",0.00885442001264929,0.0383691533881469
"5","CDKN2B",0.071722132805325,0.186477545293845
"6","EGFR",0.000207951349817254,0.00135168377381215
"7","MDM2",0.451997825580729,0.734496466568684
"8","NF1",0.602122176149261,0.869732032215599
"9","PDGFRA",1,1
"10","PIK3CA",1,1
"11","PTEN",0.244388034102385,0.45386349190443
"12","TERTp",6.64580901501683e-07,8.63955171952189e-06
"13","TP53",0.831348060541677,0.982502253367437
