"","Gene","pval","fdr"
"1","ATRX",0.675639068951827,0.872955176892258
"2","BRAF",0.794551582327328,0.872955176892258
"3","CDK4",0.370586834718063,0.872955176892258
"4","CDKN2A",0.692440979772296,0.872955176892258
"5","CDKN2B",0.810601235685668,0.872955176892258
"6","EGFR",0.596059934419267,0.872955176892258
"7","IDH",0.735538998527887,0.872955176892258
"8","MDM2",0.742679254562011,0.872955176892258
"9","NF1",0.113730249070821,0.872955176892258
"10","PDGFRA",1,1
"11","PIK3CA",0.675639068951827,0.872955176892258
"12","PTEN",0.245748814484768,0.872955176892258
"13","TERTp",0.654890814689438,0.872955176892258
"14","TP53",0.296054905291035,0.872955176892258
