"","Gene","pval","fdr"
"1","ATRX",0.718606341187885,0.936429755817079
"2","BRAF",0.573096359106199,0.931281583547574
"3","CDK4",0.477713231100038,0.931281583547574
"4","CDKN2A",1,1
"5","CDKN2B",0.430652199368503,0.931281583547574
"6","EGFR",0.267363304018203,0.931281583547574
"7","MDM2",0.522537075385571,0.931281583547574
"8","NF1",0.164515852993408,0.931281583547574
"9","PDGFRA",0.778338494151296,0.936429755817079
"10","PIK3CA",0.813277903596293,0.936429755817079
"11","PTEN",0.14891517729124,0.931281583547574
"12","TERTp",0.864396697677304,0.936429755817079
"13","TP53",0.444171992080661,0.931281583547574
