"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"ATRX","TERTp",0,0.0234798314268513,1.60351778013692e-06,0,27,75,97,6.17354345352713e-05
"ATRX","PIK3CA",0.771778356568617,0.865889212827988,1,3,24,24,148,1
"ATRX","FGFR1",0,0.312918660287081,0.612639411791217,0,27,9,163,1
"ATRX","EGFR",0.123654138674015,0.179358945214822,0.019753252299215,1,26,41,131,0.181882825618464
"ATRX","PTEN",0.169193744413791,0.244702467343977,0.054514752488099,1,26,32,140,0.307736862606559
"ATRX","BRAF",0.903317265216096,1.07167004732928,1,2,25,14,158,1
"ATRX","CDK4",0.263416109333509,0.378616352201258,0.326402117926693,1,26,22,150,0.835354548685505
"ATRX","MDM4",0,0.401212121212121,0.596620776294887,0,27,7,165,1
"ATRX","PDGFRA",1.21746673692274,1.35497835497835,0.727419515537307,3,24,16,156,1
"ATRX","CDKN2A",0.976697321773663,1.05861099959855,1,4,23,26,146,1
"ATRX","TP53",10.3041554386839,9.6513680494263,4.05007171304495e-07,22,5,51,121,1.87113313142677e-05
"ATRX","FGFR3-TACC3",0,0.401212121212121,0.596620776294887,0,27,7,165,1
"ATRX","FGFR3",0,0.553719008264463,1,0,27,5,167,1
"ATRX","KIAA1549-BRAF",0,0.401212121212121,0.596620776294887,0,27,7,165,1
"ATRX","NF1",0.950220273623594,1.06271777003484,1,3,24,20,152,1
"ATRX","MSH6",1.28285534313225,1.72384219554031,0.588083649867266,1,26,5,167,1
"ATRX","RB1",0,0.465734265734266,1,0,27,6,166,1
"ATRX","CDKN2B",0.330357781718584,0.472718001019888,0.479883819176956,1,26,18,154,0.989760377052471
"ATRX","MDM2",0,0.281385281385281,0.363460086042878,0,27,10,162,0.865522050556996
"ATRX","PTPN11",0,0.553719008264463,1,0,27,5,167,1
"ATRX","IDH",11.9894255250277,11.6315789473684,2.60653948570111e-08,19,8,28,144,2.00703540398985e-06
"TERTp","PIK3CA",0.661182978121318,0.681291547958215,0.399658798136784,8,67,19,105,0.865522050556996
"TERTp","FGFR1",0,0.0805158591843848,0.0146158036814524,0,75,9,115,0.149964297110426
"TERTp","EGFR",4.05547347446826,4.00565347522448,0.000123321891668742,27,48,15,109,0.00284873569754793
"TERTp","PTEN",2.28460605424379,2.27293127629734,0.0322996548355873,18,57,15,109,0.23693781412485
"TERTp","BRAF",0.734868310219322,0.769966080789393,0.788861938668819,5,70,11,113,1
"TERTp","CDK4",2.91570600811954,2.86649550706033,0.02109871567643,14,61,9,115,0.181882825618464
"TERTp","MDM4",4.32406099681188,3.82269503546099,0.106103875042401,5,70,2,122,0.471346060284511
"TERTp","PDGFRA",0.562746997371084,0.594521887992174,0.329079064633684,5,70,14,110,0.835354548685505
"TERTp","CDKN2A",1.12103647187981,1.13321983400724,0.838950354584773,12,63,18,106,1
"TERTp","TP53",0.150377590732644,0.155256356314239,6.25091694715685e-08,10,65,63,61,3.60990453698308e-06
"TERTp","FGFR3-TACC3",4.32406099681188,3.82269503546099,0.106103875042401,5,70,2,122,0.471346060284511
"TERTp","FGFR3",0.406987884988179,0.539149888143177,0.65189967011985,1,74,4,120,1
"TERTp","KIAA1549-BRAF",0,0.103752759381898,0.0463840447043643,0,75,7,117,0.296532385454035
"TERTp","NF1",1.07105400101152,1.08866995073892,1,9,66,14,110,1
"TERTp","MSH6",1.67591401849806,1.67586206896552,0.674328815086355,3,72,3,121,1
"TERTp","RB1",0.822730862927694,0.910808767951625,1,2,73,4,120,1
"TERTp","CDKN2B",1.22529765444247,1.24283413848631,0.804115118262695,8,67,11,113,1
"TERTp","MDM2",4.12114597829313,3.80083420229406,0.0433122126956987,7,68,3,121,0.285860603791612
"TERTp","PTPN11",6.86440539601513,5.18181818181818,0.0679440157104039,4,71,1,123,0.34877928064674
"TERTp","IDH",0.310294151494678,0.320964749536178,0.00316140307857579,9,66,38,86,0.0429578888912357
"PIK3CA","FGFR1",5.72550013072941,5.83172147001934,0.0212590315657944,4,23,5,167,0.181882825618464
"PIK3CA","EGFR",0.82999613315704,0.883259259259259,1,5,22,37,135,1
"PIK3CA","PTEN",0.365318407754025,0.440398381574852,0.264065559824513,2,25,31,141,0.743892003895885
"PIK3CA","BRAF",0,0.172451790633609,0.135322556457093,0,27,16,156,0.533883313609273
"PIK3CA","CDK4",0.576613317132366,0.690834473324213,0.74608856284562,2,25,21,151,1
"PIK3CA","MDM4",0,0.401212121212121,0.596620776294887,0,27,7,165,1
"PIK3CA","PDGFRA",0.730467447338228,0.871148459383754,1,2,25,17,155,1
"PIK3CA","CDKN2A",2.25616080096927,2.32745199792423,0.142136931628507,7,20,23,149,0.533883313609273
"PIK3CA","TP53",1.7284095539117,1.73126246793958,0.201877515749243,13,14,60,112,0.613614795163988
"PIK3CA","FGFR3-TACC3",0,0.401212121212121,0.596620776294887,0,27,7,165,1
"PIK3CA","FGFR3",1.61080878030919,2.11949685534591,0.521486395654189,1,26,4,168,1
"PIK3CA","KIAA1549-BRAF",0,0.401212121212121,0.596620776294887,0,27,7,165,1
"PIK3CA","NF1",1.93673425107372,2.04144144144144,0.209963050882391,5,22,18,154,0.629889152647173
"PIK3CA","MSH6",6.92479075273691,6.91836734693878,0.0338993558798767,3,24,3,169,0.23693781412485
"PIK3CA","RB1",3.33047901169388,3.67102396514161,0.188500124588805,2,25,4,168,0.613614795163988
"PIK3CA","CDKN2B",3.46364671398369,3.57192075796727,0.0276671385868667,6,21,13,159,0.220025192532117
"PIK3CA","MDM2",0.697705068300847,0.974180734856008,1,1,26,9,163,1
"PIK3CA","PTPN11",0,0.553719008264463,1,0,27,5,167,1
"PIK3CA","IDH",0.913304490695937,0.957971420565985,1,6,21,41,131,1
"FGFR1","EGFR",0.455732662665246,0.635719347980156,0.68756802564497,1,8,41,149,1
"FGFR1","PTEN",0.618479506997032,0.860633484162896,1,1,8,32,158,1
"FGFR1","BRAF",0,0.556618819776715,1,0,9,16,174,1
"FGFR1","CDK4",0.954759681757229,1.32156862745098,1,1,8,22,168,1
"FGFR1","MDM4",0,1.28771929824561,1,0,9,7,183,1
"FGFR1","PDGFRA",0,0.462887989203779,1,0,9,19,171,1
"FGFR1","CDKN2A",0,0.276962899050906,0.360300970518632,0,9,30,160,0.865522050556996
"FGFR1","TP53",0.206065757499737,0.288438133874239,0.158728005287479,1,8,72,118,0.570720754246539
"FGFR1","FGFR3-TACC3",0,1.28771929824561,1,0,9,7,183,1
"FGFR1","FGFR3",0,1.77511961722488,1,0,9,5,185,1
"FGFR1","KIAA1549-BRAF",0,1.28771929824561,1,0,9,7,183,1
"FGFR1","NF1",0.954759681757229,1.32156862745098,1,1,8,22,168,1
"FGFR1","MSH6",0,1.49392712550607,1,0,9,6,184,1
"FGFR1","RB1",0,1.49392712550607,1,0,9,6,184,1
"FGFR1","CDKN2B",0,0.462887989203779,1,0,9,19,171,1
"FGFR1","MDM2",2.49695498578391,3.37151702786378,0.377418806401492,1,8,9,181,0.865522050556996
"FGFR1","PTPN11",0,1.77511961722488,1,0,9,5,185,1
"FGFR1","IDH",0,0.159002770083102,0.118902705073977,0,9,47,143,0.517582317995597
"EGFR","PTEN",3.60207057801773,3.61358524516419,0.002109840870278,14,28,19,138,0.0324915494022812
"EGFR","BRAF",0.512142775585827,0.610898254576415,0.530795011902129,2,40,14,143,1
"EGFR","CDK4",1.75680414922413,1.81177976952625,0.277317183885562,7,35,16,141,0.771810475633312
"EGFR","MDM4",25.422316378631,18.5799086757991,0.000385926599853183,6,36,1,156,0.00742908704717377
"EGFR","PDGFRA",0.413244673463174,0.495590828924162,0.374998848860992,2,40,17,140,0.865522050556996
"EGFR","CDKN2A",4.36347708674954,4.36310473152578,0.000983651485893189,14,28,16,141,0.0174787302493328
"EGFR","TP53",0.467948432619581,0.480799515445185,0.0706378429435762,10,32,63,94,0.354724819999263
"EGFR","FGFR3-TACC3",0,0.236078431372549,0.348950648955695,0,42,7,150,0.865522050556996
"EGFR","FGFR3",0.933263413871534,1.23293172690763,1,1,41,4,153,1
