"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"ATRX","TERTp",0,0.0553306342780027,0.00733361892837059,0,19,9,20,0.0550021419627794
"ATRX","PIK3CA",1.60806258111661,1.60606060606061,0.669036627271358,3,16,3,26,1
"ATRX","CDKN2A",1.16795904566072,1.2020202020202,1,3,16,4,25,1
"ATRX","TP53",4.20600534990925,3.85714285714286,0.0597477015695479,16,3,16,13,0.224053880885804
"ATRX","IDH",0,0.661016949152542,1,19,0,29,0,1
"TERTp","PIK3CA",0,0.271255060728745,0.577736386518629,0,9,6,33,1
"TERTp","CDKN2A",0.692457860206458,0.909502262443439,1,1,8,6,33,1
"TERTp","TP53",0.0353744248080227,0.0476190476190476,0.0002523870515473,1,8,31,8,0.0037858057732095
"TERTp","IDH",0,0.240506329113924,1,9,0,39,0,1
"PIK3CA","CDKN2A",8.77458016517936,8.55555555555556,0.0328132344245762,3,3,4,38,0.164066172122881
"PIK3CA","TP53",2.72792773508909,2.06666666666667,0.648356290569573,5,1,27,15,1
"PIK3CA","IDH",0,0.152941176470588,1,6,0,42,0,1
"CDKN2A","TP53",Inf,9.70588235294118,0.0787743189266327,7,0,25,16,0.236322956779898
"CDKN2A","IDH",0,0.180722891566265,1,7,0,41,0,1
"TP53","IDH",0,1.96969696969697,1,32,0,16,0,1
