"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"ATRX","TERTp",0,0.0659000442282176,0.00878735216712142,0,8,66,74,0.115587478505982
"ATRX","PIK3CA",0,0.326949384404925,0.601562997994259,0,8,21,119,1
"ATRX","FGFR1",0,0.814241486068111,1,0,8,9,131,1
"ATRX","EGFR",0,0.14103472714387,0.106737831264753,0,8,41,99,0.556965586073491
"ATRX","PTEN",0.504271324693412,0.695238095238095,1,1,7,31,109,1
"ATRX","BRAF",2.96813048766358,3.35543766578249,0.208634429736659,2,6,14,126,0.679993102894825
"ATRX","CDK4",0,0.326949384404925,0.601562997994259,0,8,21,119,1
"ATRX","MDM4",0,1.04705882352941,1,0,8,7,133,1
"ATRX","PDGFRA",3.50877747709469,3.95384615384615,0.167399428534193,2,6,12,128,0.636117828429931
"ATRX","CDKN2A",0.767504152630052,1.05333333333333,1,1,7,22,118,1
"ATRX","TP53",9.54493252197009,8.34328358208955,0.00444661538834897,6,2,33,107,0.074006891180366
"ATRX","FGFR3-TACC3",0,1.04705882352941,1,0,8,7,133,1
"ATRX","KIAA1549-BRAF",0,1.04705882352941,1,0,8,7,133,1
"ATRX","NF1",3.5562921889561,3.74057649667406,0.108857623935417,3,5,20,120,0.556965586073491
"ATRX","RB1",0,1.44919786096257,1,0,8,5,135,1
"ATRX","CDKN2B",0,0.443850267379679,0.599625324135543,0,8,16,124,1
"ATRX","MDM2",0,0.73109243697479,1,0,8,10,130,1
"ATRX","PTPN11",0,1.44919786096257,1,0,8,5,135,1
"TERTp","PIK3CA",0.733619974096043,0.748021525799304,0.637477693948711,8,58,13,69,1
"TERTp","FGFR1",0,0.0581717451523546,0.00450536707717375,0,66,9,73,0.074006891180366
"TERTp","EGFR",3.33354608989417,3.28895678742907,0.00163878277387924,27,39,14,68,0.046038761015442
"TERTp","PTEN",1.81396049206517,1.80199075719872,0.161328222909324,18,48,14,68,0.636117828429931
"TERTp","BRAF",0.531250995995308,0.556026864616472,0.297060098212665,5,61,11,71,0.810709412608037
"TERTp","CDK4",2.86373520002095,2.78031746031746,0.0340138377756013,14,52,7,75,0.306124539980411
"TERTp","MDM4",3.25320351422706,2.87967479674797,0.242583191318114,5,61,2,80,0.702554550901178
"TERTp","PDGFRA",0.666638757535796,0.69191270860077,0.57867570510651,5,61,9,73,1
"TERTp","CDKN2A",1.16544220028196,1.16864864864865,0.820800784927259,11,55,12,70,1
"TERTp","TP53",0.276035535723545,0.284390591589451,0.00241076626760117,9,57,30,52,0.051530128969975
"TERTp","FGFR3-TACC3",3.25320351422706,2.87967479674797,0.242583191318114,5,61,2,80,0.702554550901178
"TERTp","KIAA1549-BRAF",0,0.0756892230576441,0.01714198171449,0,66,7,75,0.192481478078726
"TERTp","NF1",0.768280287775366,0.780509745127436,0.65137607249485,9,57,14,68,1
"TERTp","RB1",0.82398825579306,0.880398671096346,1,2,64,3,79,1
"TERTp","CDKN2B",1.27373646424324,1.27350427350427,0.791115138109576,8,58,8,74,1
"TERTp","MDM2",3.10068783251128,2.86314525810324,0.110741695476601,7,59,3,79,0.556965586073491
"TERTp","PTPN11",5.17321858226737,3.912,0.172468116560161,4,62,1,81,0.641131476777989
"PIK3CA","FGFR1",5.63416252954839,5.72727272727273,0.0238999065384751,4,17,5,122,0.240404942239955
"PIK3CA","EGFR",0.574298844802295,0.620571428571429,0.435565730761096,4,17,37,90,1
"PIK3CA","PTEN",0.156076631127128,0.224157955865273,0.0463901287345707,1,20,31,96,0.360577818800526
"PIK3CA","BRAF",0,0.157152924594785,0.128728178409319,0,21,16,111,0.579276802841938
"PIK3CA","CDK4",0.600171645282867,0.713346482577252,0.739015967651207,2,19,19,108,1
"PIK3CA","MDM4",0,0.373643410852713,0.593742437004478,0,21,7,120,1
"PIK3CA","PDGFRA",0.440376518925123,0.62059620596206,0.693111959645545,1,20,13,114,1
"PIK3CA","CDKN2A",1.33464414466346,1.43076923076923,0.744343496770494,4,17,19,108,1
"PIK3CA","TP53",1.89660104589039,1.92886537330982,0.191813824667026,8,13,31,96,0.643140470942382
"PIK3CA","FGFR3-TACC3",0,0.373643410852713,0.593742437004478,0,21,7,120,1
"PIK3CA","KIAA1549-BRAF",0,0.373643410852713,0.593742437004478,0,21,7,120,1
"PIK3CA","NF1",1.88296172271935,1.97297297297297,0.325617870553746,5,16,18,109,0.857558364697004
"PIK3CA","RB1",1.5323632842542,2.00813008130081,0.54000969810488,1,20,4,123,1
"PIK3CA","CDKN2B",2.23958913830909,2.376,0.246510368737255,4,17,12,115,0.702554550901178
"PIK3CA","MDM2",0.657195911885413,0.912708600770218,1,1,20,9,118,1
"PIK3CA","PTPN11",0,0.517970401691332,1,0,21,5,122,1
"FGFR1","EGFR",0.311245410362003,0.433551198257081,0.445165670058783,1,8,40,99,1
"FGFR1","PTEN",0.43741100024225,0.607843137254902,0.684315649164492,1,8,31,108,1
"FGFR1","BRAF",0,0.393939393939394,0.597837937189719,0,9,16,123,1
"FGFR1","CDK4",0.745105404912103,1.0286944045911,1,1,8,20,119,1
"FGFR1","MDM4",0,0.929824561403509,1,0,9,7,132,1
"FGFR1","PDGFRA",0,0.455535390199637,1,0,9,14,125,1
"FGFR1","CDKN2A",0,0.260918253079507,0.355365041709096,0,9,23,116,0.879235821730324
"FGFR1","TP53",0.334143913296108,0.46524064171123,0.446004305266925,1,8,38,101,1
"FGFR1","FGFR3-TACC3",0,0.929824561403509,1,0,9,7,132,1
"FGFR1","KIAA1549-BRAF",0,0.929824561403509,1,0,9,7,132,1
"FGFR1","NF1",0.666393110846885,0.92156862745098,1,1,8,22,117,1
"FGFR1","RB1",0,1.28708133971292,1,0,9,5,134,1
"FGFR1","CDKN2B",0,0.393939393939394,0.597837937189719,0,9,16,123,1
"FGFR1","MDM2",1.79651407515617,2.42414860681115,0.476901567684018,1,8,9,130,1
"FGFR1","PTPN11",0,1.28708133971292,1,0,9,5,134,1
"EGFR","PTEN",2.54542563988924,2.55085995085995,0.0270823627502268,14,27,18,89,0.257282446127154
"EGFR","BRAF",0.342649330165497,0.408118725447403,0.236390057405902,2,39,14,93,0.702554550901178
"EGFR","CDK4",1.3646276395787,1.40179910044978,0.600203825823489,7,34,14,93,1
"EGFR","MDM4",17.7630993995998,13,0.00188462764390698,6,35,1,106,0.046038761015442
"EGFR","PDGFRA",0.408034067729403,0.483544303797468,0.3510492298691,2,39,12,95,0.879235821730324
"EGFR","CDKN2A",4.4477938435321,4.3984962406015,0.00173694396132543,13,28,10,97,0.046038761015442
"EGFR","TP53",0.723412497240118,0.742749054224464,0.534873696984613,9,32,30,77,1
"EGFR","FGFR3-TACC3",0,0.16144578313253,0.190597526421041,0,41,7,100,0.643140470942382
"EGFR","KIAA1549-BRAF",0,0.16144578313253,0.190597526421041,0,41,7,100,0.643140470942382
"EGFR","NF1",0.0975300996729268,0.140740740740741,0.0047606772104329,1,40,22,85,0.074006891180366
"EGFR","RB1",0.645468050083228,0.851851851851852,1,1,40,4,103,1
"EGFR","CDKN2B",7.35200503440597,7.02682563338301,0.00034811155746596,11,30,5,102,0.0198423587755597
"EGFR","MDM2",1.12687105368793,1.21818181818182,1,3,38,7,100,1
"EGFR","PTPN11",1.77008615644697,1.88969258589512,0.617171958043474,2,39,3,104,1
"PTEN","BRAF",0.820688894434283,0.909604519774011,1,3,29,13,103,1
"PTEN","CDK4",1.54880988389862,1.60620815581254,0.40008159649525,6,26,15,101,0.950193791676219
"PTEN","MDM4",1.47569216532027,1.66169895678092,0.644662238526796,2,30,5,111,1
"PTEN","PDGFRA",1.50964132805107,1.6015037593985,0.50314778661396,4,28,10,106,1
"PTEN","CDKN2A",2.23027037968248,2.27188940092166,0.104669384539243,8,24,15,101,0.556965586073491
"PTEN","TP53",3.34969808724221,3.34402332361516,0.00567286221078558,15,17,24,92,0.0808382865036945
"PTEN","FGFR3-TACC3",1.47569216532027,1.66169895678092,0.644662238526796,2,30,5,111,1
"PTEN","KIAA1549-BRAF",0,0.224615384615385,0.346946816751949,0,32,7,109,0.879235821730324
"PTEN","NF1",0.30346391882352,0.364086923370187,0.165383618704302,2,30,21,95,0.636117828429931
"PTEN","RB1",5.80114929878535,5.43389830508475,0.0677703143456568,3,29,2,114,0.417855027218077
"PTEN","CDKN2B",1.23623652733251,1.32,0.750207842445353,4,28,12,104,1
"PTEN","MDM2",0.900625071079887,1.04628736740598,1,2,30,8,108,1
"PTEN","PTPN11",5.80114929878535,5.43389830508475,0.0677703143456568,3,29,2,114,0.417855027218077
"BRAF","CDK4",0.375179613549661,0.531077891424076,0.470771110614402,1,15,20,112,1
"BRAF","MDM4",3.58058136701111,3.99686520376176,0.166928734334111,2,14,5,127,0.636117828429931
"BRAF","PDGFRA",0,0.247648902821317,0.365062826566392,0,16,14,118,0.879235821730324
