"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"ATRX","TERTp",0,0.0442156268927922,0.003259580098501,0,6,63,36,0.0738838155660226
"ATRX","PIK3CA",0,0.453580901856764,1,0,6,14,85,1
"ATRX","EGFR",0,0.108433734939759,0.0791827105216343,0,6,41,58,0.566781506891698
"ATRX","PTEN",0.50996275466088,0.684210526315789,1,1,5,28,71,1
"ATRX","BRAF",3.68252053423922,4.68595041322314,0.303735443526341,1,5,5,94,0.898000441730051
"ATRX","CDK4",0,0.280858676207513,0.597157415868987,0,6,21,78,1
"ATRX","MDM4",0,0.948717948717949,1,0,6,7,92,1
"ATRX","PDGFRA",4.35081109164443,4.73544973544974,0.138841171381559,2,4,10,89,0.661830678445249
"ATRX","CDKN2A",0.702181613905466,0.939393939393939,1,1,5,22,77,1
"ATRX","TP53",Inf,37.9803921568627,0.00045750377436373,6,0,25,74,0.0155551283283668
"ATRX","FGFR3-TACC3",0,0.948717948717949,1,0,6,7,92,1
"ATRX","NF1",3.25508097622817,3.559670781893,0.203493118718365,2,4,13,86,0.800481893183614
"ATRX","RB1",0,1.32167832167832,1,0,6,5,94,1
"ATRX","CDKN2B",0,0.389277389277389,0.587333577697896,0,6,16,83,1
"ATRX","MDM2",0,0.655677655677656,1,0,6,10,89,1
"ATRX","PTPN11",0,1.32167832167832,1,0,6,5,94,1
"TERTp","PIK3CA",0.87387344284305,0.86001386001386,1,8,55,6,36,1
"TERTp","EGFR",1.49422253101437,1.48086915446386,0.414852642587169,27,36,14,28,1
"TERTp","PTEN",1.12599345025142,1.11371237458194,0.827313270350341,18,45,11,31,1
"TERTp","BRAF",1.35212921776793,1.22521008403361,1,4,59,2,40,1
"TERTp","CDK4",1.42382994147665,1.38653198653199,0.620222047939315,14,49,7,35,1
"TERTp","MDM4",1.71574859648647,1.52307692307692,0.699559895804192,5,58,2,40,1
"TERTp","PDGFRA",0.434650471839508,0.445014245014245,0.214878777814832,5,58,7,35,0.800481893183614
"TERTp","CDKN2A",0.532174761400241,0.53447619047619,0.229549954662948,11,52,12,30,0.800481893183614
"TERTp","TP53",0.154692928251624,0.15881753312946,5.53872379982765e-05,9,54,22,20,0.00251088812258854
"TERTp","FGFR3-TACC3",1.71574859648647,1.52307692307692,0.699559895804192,5,58,2,40,1
"TERTp","NF1",1,0.978828510938603,1,9,54,6,36,1
"TERTp","RB1",0.429820290729626,0.45876887340302,0.386819543440088,2,61,3,39,1
"TERTp","CDKN2B",0.621128533118718,0.621621621621622,0.414617020490599,8,55,8,34,1
"TERTp","MDM2",1.61785889603237,1.49810366624526,0.7363761346402,7,56,3,39,1
"TERTp","PTPN11",2.75641705191154,2.09243697478992,0.645909877197798,4,59,1,41,1
"PIK3CA","EGFR",0.58663406368066,0.622857142857143,0.558133769229726,4,10,37,54,1
"PIK3CA","PTEN",0.175115492107996,0.247563352826511,0.105506517203801,1,13,28,63,0.643591468930313
"PIK3CA","BRAF",0,0.453580901856764,1,0,14,6,85,1
"PIK3CA","CDK4",0.634049861109548,0.743589743589744,0.730746333914846,2,12,19,72,1
"PIK3CA","MDM4",0,0.388505747126437,0.590000094241292,0,14,7,84,1
"PIK3CA","PDGFRA",0.562064370423039,0.777777777777778,1,1,13,11,80,1
"PIK3CA","CDKN2A",1.50928093295303,1.59340659340659,0.501254562632719,4,10,19,72,1
