"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"PIK3CA","FGFR1",7.63311472834396,7.44444444444444,0.044733053017377,3,4,3,33,0.323394112558068
"PIK3CA","BRAF",0,0.168253968253968,0.172476860030969,0,7,10,26,0.323394112558068
"PIK3CA","TP53",9.76895274721296,9.28571428571429,0.015282282082294,4,3,4,32,0.22923423123441
"PIK3CA","KIAA1549-BRAF",0,0.262222222222222,0.576883820607139,0,7,7,29,0.618089807793363
"PIK3CA","NF1",4.4308814052187,4.45454545454545,0.106275008833447,3,4,5,31,0.323394112558068
"FGFR1","BRAF",0,0.201465201465201,0.308653850254591,0,6,10,27,0.429483759781995
"FGFR1","TP53",0,0.266968325791855,0.574005479250725,0,6,8,29,0.618089807793363
"FGFR1","KIAA1549-BRAF",0,0.312820512820513,0.567134599883801,0,6,7,30,0.618089807793363
"FGFR1","NF1",0.86011406583842,1.10909090909091,1,1,5,7,30,1
"BRAF","TP53",0,0.142857142857143,0.165281006639934,0,10,8,25,0.323394112558068
"BRAF","KIAA1549-BRAF",0,0.168253968253968,0.172476860030969,0,10,7,26,0.323394112558068
"BRAF","NF1",0,0.142857142857143,0.165281006639934,0,10,8,25,0.323394112558068
"TP53","KIAA1549-BRAF",0,0.223529411764706,0.314954757173463,0,8,7,28,0.429483759781995
"TP53","NF1",3.46647181455562,3.52892561983471,0.153287917654876,3,5,5,30,0.323394112558068
"KIAA1549-BRAF","NF1",0,0.223529411764706,0.314954757173463,0,7,8,28,0.429483759781995
